team_won,team_lost,stars_of_tournament,shape,event_name,score,time,team1,team2,target
BIG,BESTIA,1,bo3,Thunderpick World Championship 2024,2 - 0,Results for October 24th 2024,BIG,BESTIA,1
M80,Aurora,1,bo3,Thunderpick World Championship 2024,0 - 2,Results for October 24th 2024,Aurora,M80,0
Sashi,ECLOT,0,bo3,Winline Insight Season 6,2 - 1,Results for October 24th 2024,Sashi,ECLOT,1
HOTU,UNiTY,0,bo3,YaLLa Compass Fall 2024 Contenders,1 - 2,Results for October 24th 2024,UNiTY,HOTU,0
BESTIA,M80,1,bo3,Thunderpick World Championship 2024,0 - 2,Results for October 24th 2024,M80,BESTIA,0
Endpoint,NewBALLS,0,bo3,Winline Insight Season 6,2 - 1,Results for October 24th 2024,Endpoint,NewBALLS,1
GUN5,Insilio,0,bo3,YaLLa Compass Fall 2024 Contenders,2 - 0,Results for October 24th 2024,GUN5,Insilio,1
L&G,WOPA,0,bo3,United21 League Season 21,2 - 0,Results for October 24th 2024,L&G,WOPA,1
Aurora Young Blud,kONO,0,bo3,European Pro League 2nd Division Season 16,1 - 2,Results for October 24th 2024,kONO,Aurora Young Blud,0
BIG,Aurora,1,bo3,Thunderpick World Championship 2024,2 - 0,Results for October 24th 2024,BIG,Aurora,1
ECLOT,ALTERNATE aTTaX,0,bo3,YaLLa Compass Fall 2024 Contenders,0 - 2,Results for October 24th 2024,ALTERNATE aTTaX,ECLOT,0
GenOne,Heimo,0,bo3,United21 League Season 21,0 - 2,Results for October 24th 2024,Heimo,GenOne,0
HEROIC,Ninjas in Pyjamas,1,bo3,Thunderpick World Championship 2024,2 - 0,Results for October 24th 2024,HEROIC,Ninjas in Pyjamas,1
Imperial,Legacy,0,bo3,Thunderpick World Championship 2024,1 - 2,Results for October 23rd 2024,Legacy,Imperial,0
Ninjas in Pyjamas,Imperial,0,bo3,Thunderpick World Championship 2024,1 - 2,Results for October 23rd 2024,Imperial,Ninjas in Pyjamas,0
