team_name,team_region,world_ranking,valve_ranking,avg_player_age,current_winstreak,winrate,map_winrates,coach_url,player_urls
NatusVincere,Europe,#2,#3,24.0,2,70.0,"{'Ancient': '71.4', 'Anubis': '57.1', 'Dust2': '66.7', 'Inferno': '50.0', 'Mirage': '57.1', 'Nuke': '50.0', 'Overpass': None, 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/472/b1ad3,"['https://www.hltv.org/player/9816/aleksib', 'https://www.hltv.org/player/14759/im', 'https://www.hltv.org/player/18987/b1t', 'https://www.hltv.org/player/20127/w0nderful', 'https://www.hltv.org/player/22673/makazze']"
Vitality,Europe,#1,#1,27.1,2,92.0,"{'Ancient': '100.0', 'Anubis': '75.0', 'Dust2': '93.3', 'Inferno': '87.5', 'Mirage': '78.6', 'Nuke': '80.0', 'Overpass': '88.9', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/9086/xtqzzz,"['https://www.hltv.org/player/7322/apex', 'https://www.hltv.org/player/11816/ropz', 'https://www.hltv.org/player/11893/zywoo', 'https://www.hltv.org/player/16693/flamez', 'https://www.hltv.org/player/18462/mezii']"
Falcons,Europe,#4,#4,26.0,2,72.2,"{'Ancient': '75.0', 'Anubis': '100.0', 'Dust2': '46.2', 'Inferno': '40.0', 'Mirage': '75.0', 'Nuke': '75.0', 'Overpass': None, 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/21/zonic,"['https://www.hltv.org/player/429/karrigan', 'https://www.hltv.org/player/3741/niko', 'https://www.hltv.org/player/12018/teses', 'https://www.hltv.org/player/19230/m0nesy', 'https://www.hltv.org/player/24177/kyousuke']"
FURIA,Brazil,#3,#9,27.2,1,52.0,"{'Ancient': '0.0', 'Anubis': '50.0', 'Dust2': '60.0', 'Inferno': '63.6', 'Mirage': '47.1', 'Nuke': '44.4', 'Overpass': '55.6', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/24267/sidde,"['https://www.hltv.org/player/2023/fallen', 'https://www.hltv.org/player/12553/yuurih', 'https://www.hltv.org/player/13915/yekindar', 'https://www.hltv.org/player/15631/kscerato', 'https://www.hltv.org/player/24144/molodoy']"
Aurora,Turkey,#6,#7,27.4,1,58.1,"{'Ancient': None, 'Anubis': '55.6', 'Dust2': '66.7', 'Inferno': '66.7', 'Mirage': '66.7', 'Nuke': '27.3', 'Overpass': '50.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/2794/fabre,"['https://www.hltv.org/player/150/maj3r', 'https://www.hltv.org/player/7938/xantares', 'https://www.hltv.org/player/8574/woxic', 'https://www.hltv.org/player/20968/soulfly', 'https://www.hltv.org/player/21243/wicadia']"
Spirit,Russia,#5,#2,22.6,3,72.2,"{'Ancient': '75.0', 'Anubis': '50.0', 'Dust2': '80.0', 'Inferno': None, 'Mirage': '55.6', 'Nuke': '50.0', 'Overpass': '60.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/2154/hally,"['https://www.hltv.org/player/16920/sh1ro', 'https://www.hltv.org/player/18317/magixx', 'https://www.hltv.org/player/19808/tn1r', 'https://www.hltv.org/player/20423/zont1x', 'https://www.hltv.org/player/21167/donk']"
TheMongolZ,Mongolia,#8,#6,21.9,0,58.6,"{'Ancient': '50.0', 'Anubis': None, 'Dust2': '50.0', 'Inferno': '66.7', 'Mirage': '50.0', 'Nuke': '70.0', 'Overpass': '40.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/9243/maaraa,"['https://www.hltv.org/player/20194/blitz', 'https://www.hltv.org/player/20275/techno', 'https://www.hltv.org/player/21001/mzinho', 'https://www.hltv.org/player/21809/910', 'https://www.hltv.org/player/23402/cobrazera']"
PARIVISION,Russia,#7,#12,21.6,0,50.0,"{'Ancient': '70.0', 'Anubis': '50.0', 'Dust2': '63.6', 'Inferno': '46.7', 'Mirage': '27.8', 'Nuke': None, 'Overpass': '0.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/1865/dastan,"['https://www.hltv.org/player/13776/jame', 'https://www.hltv.org/player/19235/belchonokk', 'https://www.hltv.org/player/22471/xielo', 'https://www.hltv.org/player/22929/nota', 'https://www.hltv.org/player/23685/zweih']"
FUT,Europe,#10,#10,19.4,0,59.3,"{'Ancient': '53.8', 'Anubis': '40.0', 'Dust2': '61.5', 'Inferno': None, 'Mirage': '63.2', 'Nuke': '42.9', 'Overpass': '58.3', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/14202/coolio,"['https://www.hltv.org/player/20584/dem0n', 'https://www.hltv.org/player/20761/launx', 'https://www.hltv.org/player/22203/krabeni', 'https://www.hltv.org/player/22674/cmtry', 'https://www.hltv.org/player/23553/dziugss']"
Astralis,Denmark,#9,#8,24.2,0,60.0,"{'Ancient': '78.6', 'Anubis': None, 'Dust2': '33.3', 'Inferno': '66.7', 'Mirage': '50.0', 'Nuke': '66.7', 'Overpass': '50.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/6124/ruggah,"['https://www.hltv.org/player/10096/hooxi', 'https://www.hltv.org/player/16726/phzy', 'https://www.hltv.org/player/17956/jabbi', 'https://www.hltv.org/player/20304/staehr', 'https://www.hltv.org/player/21217/ryu']"
